image,pins,outputs
0.png,"[(0, 0), (3, 0), (6, 0), (9, 0), (12, 0), (15, 0), (18, 0), (21, 0), (24, 0), (27, 0), (0, 3), (3, 3), (6, 3), (9, 3), (12, 3), (15, 3), (18, 3), (21, 3), (24, 3), (27, 3), (0, 6), (3, 6), (6, 6), (9, 6), (12, 6), (15, 6), (18, 6), (21, 6), (24, 6), (27, 6), (0, 9), (3, 9), (6, 9), (9, 9), (12, 9), (15, 9), (18, 9), (21, 9), (24, 9), (27, 9), (0, 12), (3, 12), (6, 12), (9, 12), (12, 12), (15, 12), (18, 12), (21, 12), (24, 12), (27, 12), (0, 15), (3, 15), (6, 15), (9, 15), (12, 15), (15, 15), (18, 15), (21, 15), (24, 15), (27, 15), (0, 18), (3, 18), (6, 18), (9, 18), (12, 18), (15, 18), (18, 18), (21, 18), (24, 18), (27, 18), (0, 21), (3, 21), (6, 21), (9, 21), (12, 21), (15, 21), (18, 21), (21, 21), (24, 21), (27, 21), (0, 24), (3, 24), (6, 24), (9, 24), (12, 24), (15, 24), (18, 24), (21, 24), (24, 24), (27, 24), (0, 27), (3, 27), (6, 27), (9, 27), (12, 27), (15, 27), (18, 27), (21, 27), (24, 27), (27, 27)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.364705942571163, 4.364705942571163, 2.517647087574005, 0, 0.25882353633642197, 5.223529472947121, 5.278431434184313, 0.9803921915590763, 0, 0.3490196242928505, 12.564706027507782, 12.564706027507782, 4.870588302612305, 0, 1.9098039800301194, 15.231372670270503, 19.20000018971041, 7.447058938909322, 0.9254902191460133, 4.72941181063652, 20.55686293542385, 18.996078602969646, 3.925490267574787, 0, 4.980392226018012, 22.23921583313495, 28.36862769490108, 15.964706105645746, 8.556862886995077, 14.505882501602173, 23.235294364392757, 15.537255063652992, 1.109803982079029, 0, 8.447058909572661, 22.756862920708954, 25.92156880069524, 18.019608048256487, 20.086274713743478, 26.843137466348708, 21.658823736943305, 6.749019690789282, 0, 0, 10.01176480948925, 17.607843324542046, 14.07058835029602, 7.784313828218728, 17.380392336752266, 22.62745119817555, 12.917647188529372, 1.13725492823869, 0, 0, 8.419607944786549, 9.800000138580799, 5.894117742776871, 0.7921568900346756, 6.5490196803584695, 8.45098049286753, 3.8117647478356957, 0, 0, 0, 4.431372582912445, 4.803921610116959, 2.3372549414634705, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1.png,"[(0, 0), (3, 0), (6, 0), (9, 0), (12, 0), (15, 0), (18, 0), (21, 0), (24, 0), (27, 0), (0, 3), (3, 3), (6, 3), (9, 3), (12, 3), (15, 3), (18, 3), (21, 3), (24, 3), (27, 3), (0, 6), (3, 6), (6, 6), (9, 6), (12, 6), (15, 6), (18, 6), (21, 6), (24, 6), (27, 6), (0, 9), (3, 9), (6, 9), (9, 9), (12, 9), (15, 9), (18, 9), (21, 9), (24, 9), (27, 9), (0, 12), (3, 12), (6, 12), (9, 12), (12, 12), (15, 12), (18, 12), (21, 12), (24, 12), (27, 12), (0, 15), (3, 15), (6, 15), (9, 15), (12, 15), (15, 15), (18, 15), (21, 15), (24, 15), (27, 15), (0, 18), (3, 18), (6, 18), (9, 18), (12, 18), (15, 18), (18, 18), (21, 18), (24, 18), (27, 18), (0, 21), (3, 21), (6, 21), (9, 21), (12, 21), (15, 21), (18, 21), (21, 21), (24, 21), (27, 21), (0, 24), (3, 24), (6, 24), (9, 24), (12, 24), (15, 24), (18, 24), (21, 24), (24, 24), (27, 24), (0, 27), (3, 27), (6, 27), (9, 27), (12, 27), (15, 27), (18, 27), (21, 27), (24, 27), (27, 27)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.364705942571163, 4.364705942571163, 2.517647087574005, 0, 0.25882353633642197, 5.223529472947121, 5.278431434184313, 0.9803921915590763, 0, 0.3490196242928505, 12.564706027507782, 12.564706027507782, 4.870588302612305, 0, 1.9098039800301194, 15.231372670270503, 19.20000018971041, 7.447058938909322, 0.9254902191460133, 4.72941181063652, 20.55686293542385, 18.996078602969646, 3.925490267574787, 0, 4.980392226018012, 22.23921583313495, 28.36862769490108, 15.964706105645746, 8.556862886995077, 14.505882501602173, 23.235294364392757, 15.537255063652992, 1.109803982079029, 0, 8.447058909572661, 22.756862920708954, 25.92156880069524, 18.019608048256487, 20.086274713743478, 26.843137466348708, 21.658823736943305, 6.749019690789282, 0, 0, 10.01176480948925, 17.607843324542046, 14.07058835029602, 7.784313828218728, 17.380392336752266, 22.62745119817555, 12.917647188529372, 1.13725492823869, 0, 0, 8.419607944786549, 9.800000138580799, 5.894117742776871, 0.7921568900346756, 6.5490196803584695, 8.45098049286753, 3.8117647478356957, 0, 0, 0, 4.431372582912445, 4.803921610116959, 2.3372549414634705, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2.png,"[(0, 0), (3, 0), (6, 0), (9, 0), (12, 0), (15, 0), (18, 0), (21, 0), (24, 0), (27, 0), (0, 3), (3, 3), (6, 3), (9, 3), (12, 3), (15, 3), (18, 3), (21, 3), (24, 3), (27, 3), (0, 6), (3, 6), (6, 6), (9, 6), (12, 6), (15, 6), (18, 6), (21, 6), (24, 6), (27, 6), (0, 9), (3, 9), (6, 9), (9, 9), (12, 9), (15, 9), (18, 9), (21, 9), (24, 9), (27, 9), (0, 12), (3, 12), (6, 12), (9, 12), (12, 12), (15, 12), (18, 12), (21, 12), (24, 12), (27, 12), (0, 15), (3, 15), (6, 15), (9, 15), (12, 15), (15, 15), (18, 15), (21, 15), (24, 15), (27, 15), (0, 18), (3, 18), (6, 18), (9, 18), (12, 18), (15, 18), (18, 18), (21, 18), (24, 18), (27, 18), (0, 21), (3, 21), (6, 21), (9, 21), (12, 21), (15, 21), (18, 21), (21, 21), (24, 21), (27, 21), (0, 24), (3, 24), (6, 24), (9, 24), (12, 24), (15, 24), (18, 24), (21, 24), (24, 24), (27, 24), (0, 27), (3, 27), (6, 27), (9, 27), (12, 27), (15, 27), (18, 27), (21, 27), (24, 27), (27, 27)]","[0, 0, 0, 1.2745098322629929, 3.109804019331932, 2.4588236212730408, 0.5882353186607361, 0, 0, 0, 0, 0.560784325003624, 4.70588244497776, 10.682353109121323, 14.643137469887733, 11.101960957050323, 5.1764706671237946, 0, 0, 0, 0, 0.560784325003624, 4.70588244497776, 10.682353109121323, 17.443137496709824, 15.984313979744911, 9.87450996041298, 0, 0, 0, 0, 0, 0, 0, 7.741176545619965, 11.121568784117699, 9.725490316748619, 0, 0, 0, 0, 0, 0, 0, 9.541176591068506, 10.839215833693743, 6.901960864663124, 0, 0, 0, 0, 0, 0, 0.7294117882847786, 12.086274703964591, 16.709804160520434, 13.372549185529351, 11.33333346247673, 6.352941244840622, 1.3725490272045135, 0, 2.3490196466445923, 7.721568741835654, 13.192157016135752, 19.305882519111037, 19.341176679357886, 14.66666684485972, 14.325490415096283, 8.529411911964417, 1.9725490510463715, 0, 2.654902011156082, 8.184313856996596, 13.50196094904095, 15.156862847507, 13.466666765511036, 10.466666728258133, 9.972549110651016, 6.164705961942673, 1.5960784554481506, 0, 1.9215686619281769, 4.027451053261757, 3.3607843816280365, 0.886274516582489, 0.062745101749897, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3.png,"[(0, 0), (3, 0), (6, 0), (9, 0), (12, 0), (15, 0), (18, 0), (21, 0), (24, 0), (27, 0), (0, 3), (3, 3), (6, 3), (9, 3), (12, 3), (15, 3), (18, 3), (21, 3), (24, 3), (27, 3), (0, 6), (3, 6), (6, 6), (9, 6), (12, 6), (15, 6), (18, 6), (21, 6), (24, 6), (27, 6), (0, 9), (3, 9), (6, 9), (9, 9), (12, 9), (15, 9), (18, 9), (21, 9), (24, 9), (27, 9), (0, 12), (3, 12), (6, 12), (9, 12), (12, 12), (15, 12), (18, 12), (21, 12), (24, 12), (27, 12), (0, 15), (3, 15), (6, 15), (9, 15), (12, 15), (15, 15), (18, 15), (21, 15), (24, 15), (27, 15), (0, 18), (3, 18), (6, 18), (9, 18), (12, 18), (15, 18), (18, 18), (21, 18), (24, 18), (27, 18), (0, 21), (3, 21), (6, 21), (9, 21), (12, 21), (15, 21), (18, 21), (21, 21), (24, 21), (27, 21), (0, 24), (3, 24), (6, 24), (9, 24), (12, 24), (15, 24), (18, 24), (21, 24), (24, 24), (27, 24), (0, 27), (3, 27), (6, 27), (9, 27), (12, 27), (15, 27), (18, 27), (21, 27), (24, 27), (27, 27)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.364705942571163, 4.364705942571163, 2.517647087574005, 0, 0.25882353633642197, 5.223529472947121, 5.278431434184313, 0.9803921915590763, 0, 0.3490196242928505, 12.564706027507782, 12.564706027507782, 4.870588302612305, 0, 1.9098039800301194, 15.231372670270503, 19.20000018971041, 7.447058938909322, 0.9254902191460133, 4.72941181063652, 20.55686293542385, 18.996078602969646, 3.925490267574787, 0, 4.980392226018012, 22.23921583313495, 28.36862769490108, 15.964706105645746, 8.556862886995077, 14.505882501602173, 23.235294364392757, 15.537255063652992, 1.109803982079029, 0, 8.447058909572661, 22.756862920708954, 25.92156880069524, 18.019608048256487, 20.086274713743478, 26.843137466348708, 21.658823736943305, 6.749019690789282, 0, 0, 10.01176480948925, 17.607843324542046, 14.07058835029602, 7.784313828218728, 17.380392336752266, 22.62745119817555, 12.917647188529372, 1.13725492823869, 0, 0, 8.419607944786549, 9.800000138580799, 5.894117742776871, 0.7921568900346756, 6.5490196803584695, 8.45098049286753, 3.8117647478356957, 0, 0, 0, 4.431372582912445, 4.803921610116959, 2.3372549414634705, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4.png,"[(0, 0), (3, 0), (6, 0), (9, 0), (12, 0), (15, 0), (18, 0), (21, 0), (24, 0), (27, 0), (0, 3), (3, 3), (6, 3), (9, 3), (12, 3), (15, 3), (18, 3), (21, 3), (24, 3), (27, 3), (0, 6), (3, 6), (6, 6), (9, 6), (12, 6), (15, 6), (18, 6), (21, 6), (24, 6), (27, 6), (0, 9), (3, 9), (6, 9), (9, 9), (12, 9), (15, 9), (18, 9), (21, 9), (24, 9), (27, 9), (0, 12), (3, 12), (6, 12), (9, 12), (12, 12), (15, 12), (18, 12), (21, 12), (24, 12), (27, 12), (0, 15), (3, 15), (6, 15), (9, 15), (12, 15), (15, 15), (18, 15), (21, 15), (24, 15), (27, 15), (0, 18), (3, 18), (6, 18), (9, 18), (12, 18), (15, 18), (18, 18), (21, 18), (24, 18), (27, 18), (0, 21), (3, 21), (6, 21), (9, 21), (12, 21), (15, 21), (18, 21), (21, 21), (24, 21), (27, 21), (0, 24), (3, 24), (6, 24), (9, 24), (12, 24), (15, 24), (18, 24), (21, 24), (24, 24), (27, 24), (0, 27), (3, 27), (6, 27), (9, 27), (12, 27), (15, 27), (18, 27), (21, 27), (24, 27), (27, 27)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7058823853731155, 5.0274510607123375, 4.403921626508236, 0.8509804084897041, 0, 0, 0, 0, 1.4313725680112839, 7.933333396911621, 17.78039227426052, 21.933333478868008, 12.478431485593319, 2.705882377922535, 0, 0, 0.23529411852359772, 3.8352941647171974, 12.9411765858531, 22.125490371137857, 25.29803940653801, 22.46666680276394, 11.725490275770426, 2.6117647290229797, 0, 1.8196078538894653, 8.576470628380775, 18.05882365256548, 22.91764723137021, 20.80000014603138, 14.176470696926117, 4.8274510353803635, 0.5803921855986118, 0, 0, 6.278431385755539, 16.60392163321376, 22.839215811342, 15.670588370412588, 5.866666730493307, 0.7764706164598465, 0, 0, 0, 0, 5.901960790157318, 12.42352944239974, 10.698039274662733, 2.3529412150382996, 0, 0, 0, 0, 0, 0, 0.4901960790157318, 0.7647058852016926, 0.517647061496973, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5.png,"[(0, 0), (3, 0), (6, 0), (9, 0), (12, 0), (15, 0), (18, 0), (21, 0), (24, 0), (27, 0), (0, 3), (3, 3), (6, 3), (9, 3), (12, 3), (15, 3), (18, 3), (21, 3), (24, 3), (27, 3), (0, 6), (3, 6), (6, 6), (9, 6), (12, 6), (15, 6), (18, 6), (21, 6), (24, 6), (27, 6), (0, 9), (3, 9), (6, 9), (9, 9), (12, 9), (15, 9), (18, 9), (21, 9), (24, 9), (27, 9), (0, 12), (3, 12), (6, 12), (9, 12), (12, 12), (15, 12), (18, 12), (21, 12), (24, 12), (27, 12), (0, 15), (3, 15), (6, 15), (9, 15), (12, 15), (15, 15), (18, 15), (21, 15), (24, 15), (27, 15), (0, 18), (3, 18), (6, 18), (9, 18), (12, 18), (15, 18), (18, 18), (21, 18), (24, 18), (27, 18), (0, 21), (3, 21), (6, 21), (9, 21), (12, 21), (15, 21), (18, 21), (21, 21), (24, 21), (27, 21), (0, 24), (3, 24), (6, 24), (9, 24), (12, 24), (15, 24), (18, 24), (21, 24), (24, 24), (27, 24), (0, 27), (3, 27), (6, 27), (9, 27), (12, 27), (15, 27), (18, 27), (21, 27), (24, 27), (27, 27)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5647059110924602, 5.658823582343757, 6.0549020217731595, 2.215686295181513, 0, 0, 0, 0.43529412522912025, 1.2470588497817516, 1.4196078721433878, 6.968627533875406, 19.003921716473997, 16.47058837581426, 6.305882405489683, 0, 0, 0, 6.67450987175107, 11.141176600009203, 11.819607948884368, 13.490196222439408, 28.6156865041703, 20.745098227635026, 6.7607843820005655, 0, 0, 1.5882353372871876, 15.976470723748207, 21.164706099778414, 21.403921741992235, 21.392157021909952, 26.258823740296066, 13.607843254692852, 2.4117647372186184, 0, 0, 5.5215686820447445, 20.890196215361357, 25.866666868329048, 26.619608022272587, 29.396078664809465, 21.78431390132755, 7.333333387039602, 0.15686275251209736, 0, 0, 5.400000048801303, 15.949019713327289, 22.847058966755867, 22.250980506651103, 28.66666690353304, 18.780392333865166, 3.48627458140254, 0, 0, 0, 2.066666694357991, 8.545098083093762, 14.674509853124619, 13.027451026253402, 17.52941192034632, 14.431372724473476, 6.6784314699471, 0, 0, 0, 0, 0, 0, 0, 5.188235344365239, 7.094117747619748, 5.701960846781731, 0, 0, 0, 0, 0, 0, 0, 1.0666666775941849, 1.2117647230625153, 1.0196078568696976, 0, 0]"
6.png,"[(0, 0), (3, 0), (6, 0), (9, 0), (12, 0), (15, 0), (18, 0), (21, 0), (24, 0), (27, 0), (0, 3), (3, 3), (6, 3), (9, 3), (12, 3), (15, 3), (18, 3), (21, 3), (24, 3), (27, 3), (0, 6), (3, 6), (6, 6), (9, 6), (12, 6), (15, 6), (18, 6), (21, 6), (24, 6), (27, 6), (0, 9), (3, 9), (6, 9), (9, 9), (12, 9), (15, 9), (18, 9), (21, 9), (24, 9), (27, 9), (0, 12), (3, 12), (6, 12), (9, 12), (12, 12), (15, 12), (18, 12), (21, 12), (24, 12), (27, 12), (0, 15), (3, 15), (6, 15), (9, 15), (12, 15), (15, 15), (18, 15), (21, 15), (24, 15), (27, 15), (0, 18), (3, 18), (6, 18), (9, 18), (12, 18), (15, 18), (18, 18), (21, 18), (24, 18), (27, 18), (0, 21), (3, 21), (6, 21), (9, 21), (12, 21), (15, 21), (18, 21), (21, 21), (24, 21), (27, 21), (0, 24), (3, 24), (6, 24), (9, 24), (12, 24), (15, 24), (18, 24), (21, 24), (24, 24), (27, 24), (0, 27), (3, 27), (6, 27), (9, 27), (12, 27), (15, 27), (18, 27), (21, 27), (24, 27), (27, 27)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.352941233664751, 4.698039326816797, 3.5647059567272663, 1.4588235393166542, 0, 0, 0, 0, 0, 0, 8.819607939571142, 18.14901978895068, 21.729411888867617, 21.752941198647022, 20.403921604156494, 17.407843202352524, 10.709804005920887, 3.898039259016514, 0, 0, 8.650980480015278, 17.937255069613457, 22.91372562199831, 24.313725538551807, 25.470588341355324, 27.00392173230648, 22.298039384186268, 10.250980459153652, 0, 0, 0.678431399166584, 1.8431373089551926, 5.682352997362614, 9.082352973520756, 11.992156937718391, 16.52156873047352, 17.36078441143036, 9.156862780451775, 0, 0, 0, 0, 0, 0, 0, 0.27450981736183167, 0.5490196347236633, 0.4117647260427475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7.png,"[(0, 0), (3, 0), (6, 0), (9, 0), (12, 0), (15, 0), (18, 0), (21, 0), (24, 0), (27, 0), (0, 3), (3, 3), (6, 3), (9, 3), (12, 3), (15, 3), (18, 3), (21, 3), (24, 3), (27, 3), (0, 6), (3, 6), (6, 6), (9, 6), (12, 6), (15, 6), (18, 6), (21, 6), (24, 6), (27, 6), (0, 9), (3, 9), (6, 9), (9, 9), (12, 9), (15, 9), (18, 9), (21, 9), (24, 9), (27, 9), (0, 12), (3, 12), (6, 12), (9, 12), (12, 12), (15, 12), (18, 12), (21, 12), (24, 12), (27, 12), (0, 15), (3, 15), (6, 15), (9, 15), (12, 15), (15, 15), (18, 15), (21, 15), (24, 15), (27, 15), (0, 18), (3, 18), (6, 18), (9, 18), (12, 18), (15, 18), (18, 18), (21, 18), (24, 18), (27, 18), (0, 21), (3, 21), (6, 21), (9, 21), (12, 21), (15, 21), (18, 21), (21, 21), (24, 21), (27, 21), (0, 24), (3, 24), (6, 24), (9, 24), (12, 24), (15, 24), (18, 24), (21, 24), (24, 24), (27, 24), (0, 27), (3, 27), (6, 27), (9, 27), (12, 27), (15, 27), (18, 27), (21, 27), (24, 27), (27, 27)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.21176471561193466, 0.21176471561193466, 0.062745101749897, 0, 0, 0, 0, 0, 0.01568627543747425, 4.356862785294652, 12.137254985049367, 12.364705935120583, 5.078431390225887, 0, 0, 0, 0, 0, 3.643137278035283, 13.019607970491052, 23.62352958507836, 18.937255036085844, 9.600000061094761, 0, 0, 0, 0, 0, 9.78039226308465, 17.54509823396802, 24.65882373228669, 24.607843324542046, 22.235294230282307, 14.270588293671608, 8.603921614587307, 2.1960784569382668, 0, 0, 14.576470723375678, 23.356862964108586, 25.792157089337707, 23.615686483681202, 19.105882473289967, 15.80784323066473, 13.321568753570318, 6.529411863535643, 0, 0, 11.972549131140113, 21.168627647683024, 19.262745248153806, 13.654902081936598, 9.145098090171814, 8.458823569118977, 9.450980491936207, 6.09803930670023, 0, 0, 6.211764767765999, 9.96862756460905, 6.235294174402952, 0.5490196384489536, 0, 0, 0.2078431434929371, 0.2078431434929371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8.png,"[(0, 0), (3, 0), (6, 0), (9, 0), (12, 0), (15, 0), (18, 0), (21, 0), (24, 0), (27, 0), (0, 3), (3, 3), (6, 3), (9, 3), (12, 3), (15, 3), (18, 3), (21, 3), (24, 3), (27, 3), (0, 6), (3, 6), (6, 6), (9, 6), (12, 6), (15, 6), (18, 6), (21, 6), (24, 6), (27, 6), (0, 9), (3, 9), (6, 9), (9, 9), (12, 9), (15, 9), (18, 9), (21, 9), (24, 9), (27, 9), (0, 12), (3, 12), (6, 12), (9, 12), (12, 12), (15, 12), (18, 12), (21, 12), (24, 12), (27, 12), (0, 15), (3, 15), (6, 15), (9, 15), (12, 15), (15, 15), (18, 15), (21, 15), (24, 15), (27, 15), (0, 18), (3, 18), (6, 18), (9, 18), (12, 18), (15, 18), (18, 18), (21, 18), (24, 18), (27, 18), (0, 21), (3, 21), (6, 21), (9, 21), (12, 21), (15, 21), (18, 21), (21, 21), (24, 21), (27, 21), (0, 24), (3, 24), (6, 24), (9, 24), (12, 24), (15, 24), (18, 24), (21, 24), (24, 24), (27, 24), (0, 27), (3, 27), (6, 27), (9, 27), (12, 27), (15, 27), (18, 27), (21, 27), (24, 27), (27, 27)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.780392186716199, 5.419607911258936, 4.443137304857373, 0.027450980618596077, 0, 0.16862745583057404, 1.3098039496690035, 1.3098039496690035, 2.2392157185822725, 2.3450980708003044, 7.4745099153369665, 17.184313878417015, 14.776470707729459, 2.3411764819175005, 0, 2.7960784882307053, 10.101960876956582, 9.78431380726397, 10.505882421508431, 11.149019680917263, 11.831372743472457, 23.662745349109173, 21.49411786533892, 3.5137255284935236, 0, 8.168627515435219, 20.00000018812716, 18.46666685678065, 20.03137264586985, 21.192156977951527, 14.964706063270569, 21.003921806812286, 19.250980608165264, 2.1607843413949013, 0, 12.368627473711967, 25.031372722238302, 26.976470809429884, 28.513725619763136, 31.694117788225412, 27.490196239203215, 22.28235313668847, 12.360784467309713, 0.0941176488995552, 0, 12.21568632312119, 28.454902118071914, 36.32156885787845, 29.450980562716722, 25.854902118444443, 22.94901977851987, 15.07450993731618, 4.749019671231508, 0, 0, 6.329411810263991, 18.262745179235935, 24.898039324209094, 16.30980403907597, 10.066666763275862, 7.929411858320236, 4.090196132659912, 0.32549020648002625, 0, 0, 0.6980392392724752, 3.8392157331109047, 4.470588309690356, 1.3568627927452326, 0.03529411926865578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9.png,"[(0, 0), (3, 0), (6, 0), (9, 0), (12, 0), (15, 0), (18, 0), (21, 0), (24, 0), (27, 0), (0, 3), (3, 3), (6, 3), (9, 3), (12, 3), (15, 3), (18, 3), (21, 3), (24, 3), (27, 3), (0, 6), (3, 6), (6, 6), (9, 6), (12, 6), (15, 6), (18, 6), (21, 6), (24, 6), (27, 6), (0, 9), (3, 9), (6, 9), (9, 9), (12, 9), (15, 9), (18, 9), (21, 9), (24, 9), (27, 9), (0, 12), (3, 12), (6, 12), (9, 12), (12, 12), (15, 12), (18, 12), (21, 12), (24, 12), (27, 12), (0, 15), (3, 15), (6, 15), (9, 15), (12, 15), (15, 15), (18, 15), (21, 15), (24, 15), (27, 15), (0, 18), (3, 18), (6, 18), (9, 18), (12, 18), (15, 18), (18, 18), (21, 18), (24, 18), (27, 18), (0, 21), (3, 21), (6, 21), (9, 21), (12, 21), (15, 21), (18, 21), (21, 21), (24, 21), (27, 21), (0, 24), (3, 24), (6, 24), (9, 24), (12, 24), (15, 24), (18, 24), (21, 24), (24, 24), (27, 24), (0, 27), (3, 27), (6, 27), (9, 27), (12, 27), (15, 27), (18, 27), (21, 27), (24, 27), (27, 27)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5647059110924602, 5.658823582343757, 6.0549020217731595, 2.215686295181513, 0, 0, 0, 0.43529412522912025, 1.2470588497817516, 1.4196078721433878, 6.968627533875406, 19.003921716473997, 16.47058837581426, 6.305882405489683, 0, 0, 0, 6.67450987175107, 11.141176600009203, 11.819607948884368, 13.490196222439408, 28.6156865041703, 20.745098227635026, 6.7607843820005655, 0, 0, 1.5882353372871876, 15.976470723748207, 21.164706099778414, 21.403921741992235, 21.392157021909952, 26.258823740296066, 13.607843254692852, 2.4117647372186184, 0, 0, 5.5215686820447445, 20.890196215361357, 25.866666868329048, 26.619608022272587, 29.396078664809465, 21.78431390132755, 7.333333387039602, 0.15686275251209736, 0, 0, 5.400000048801303, 15.949019713327289, 22.847058966755867, 22.250980506651103, 28.66666690353304, 18.780392333865166, 3.48627458140254, 0, 0, 0, 2.066666694357991, 8.545098083093762, 14.674509853124619, 13.027451026253402, 17.52941192034632, 14.431372724473476, 6.6784314699471, 0, 0, 0, 0, 0, 0, 0, 5.188235344365239, 7.094117747619748, 5.701960846781731, 0, 0, 0, 0, 0, 0, 0, 1.0666666775941849, 1.2117647230625153, 1.0196078568696976, 0, 0]"
