image,pins,outputs
0.png,"[(94, 52), (55, 3), (55, 0), (57, 55), (36, 21), (50, 21), (44, 73), (38, 38)]","[10.412211501466727, -2.8121882295700398, -2.7375461914385726, -5.22166298306863, 11.959528973613393, 1.8301158145110215, 10.583548401489487, 11.149106064680808]"
1.png,"[(17, 73), (81, 59), (89, 48)]","[18.15137487276024, 16.42277427966124, 11.055385093044864]"
2.png,"[(73, 91), (82, 59), (55, 51), (53, 8), (85, 37), (94, 72), (79, 59), (36, 54)]","[21.081543292148982, 7.6103440932107835, 27.631382895205164, 22.66391584840776, 12.124093061916355, 14.34525351604453, 11.054938938777516, 12.492931052902323]"
3.png,"[(53, 97), (22, 60), (17, 43), (27, 86)]","[13.1870611389467, 18.79061953580371, 28.399263792986623, 12.227431883090643]"
4.png,"[(97, 49), (46, 31), (42, 35)]","[28.317997914077164, -1.7404249176311068, 6.616594555407313]"
5.png,"[(74, 52), (98, 28), (23, 75), (7, 64)]","[9.173923994425568, -8.589574861506653, 34.591540754876576, -0.3881101097646949]"
6.png,"[(28, 40), (76, 38), (16, 79), (51, 90), (76, 51), (76, 62), (27, 7)]","[11.653404022834103, 24.967122292896764, 15.766799522834733, 21.307047712291457, 32.09485909147895, 17.264492557788365, 13.802803440080964]"
7.png,"[(37, 44), (90, 29), (73, 53), (89, 20), (8, 54), (62, 66)]","[28.56225683260264, 18.51029595519884, 29.582527281652425, 26.909396546086207, 37.12805323908901, 37.27068356288625]"
8.png,"[(29, 37), (80, 29)]","[52.428948771876186, 28.442817859427862]"
9.png,"[(20, 39)]",[6.423632426234983]
10.png,"[(59, 67), (30, 79), (65, 28), (31, 16), (69, 9), (28, 87), (91, 86), (89, 39)]","[11.078037471931072, 30.536573683695927, 10.99002192663238, 31.90655240130028, 11.070631940524716, 29.66321399061342, 33.87571488513507, 29.42587795759956]"
11.png,"[(85, 38)]",[8.289586325990186]
12.png,"[(60, 9), (97, 10)]","[10.587379718061634, -0.08037692875537375]"
13.png,"[(48, 18)]",[8.845008270477184]
14.png,"[(76, 42), (77, 99), (83, 43), (69, 22), (23, 56), (44, 45)]","[9.961957764231492, 11.041453300047875, 13.145291309499994, -1.6287705331042868, 13.212659327071718, 12.842726443019485]"
15.png,"[(50, 28)]",[6.238719761519277]
16.png,"[(41, 77), (91, 74), (24, 20), (78, 33), (16, 85)]","[12.620928184043825, 12.27739219081503, 12.488295007297904, 10.022390502126214, 10.05095344922068]"
17.png,"[(84, 60), (94, 22), (92, 46), (23, 29), (56, 16), (13, 0), (1, 85), (88, 28)]","[13.47813262577229, 14.148322506493297, 11.932689622402377, 14.257441847944431, -10.718099517169184, 23.33248558473125, 39.93922063691023, 14.460965868589229]"
18.png,"[(9, 24), (37, 68), (34, 5), (45, 21), (78, 19), (78, 82), (60, 77)]","[15.666541329923971, 10.299442943097212, 10.42949988708572, 21.87416892250983, 14.018987018788756, 14.36734918571635, -5.007284398441133]"
19.png,"[(40, 88)]",[23.789131067610246]
20.png,"[(23, 17), (57, 73), (15, 75), (32, 99), (60, 59), (87, 0), (12, 19), (25, 51)]","[15.81474770390426, 13.10796060319165, 0.745419637755257, 4.857891153620275, 10.950935358113263, -6.476306483086902, 16.775896032327786, 0.20631155372369125]"
21.png,"[(39, 3), (21, 52), (6, 96), (74, 46), (48, 74), (7, 74)]","[12.247124763907152, 10.442348504016667, 15.3511912493534, 19.724525975381074, 16.17795686993165, 14.973755127140128]"
22.png,"[(17, 54), (94, 41), (69, 75), (92, 41), (5, 22), (49, 19)]","[18.133249838673176, 33.27022116104583, 13.909070991011163, 34.233380303976084, 11.20238465291225, 13.514508332925095]"
23.png,"[(10, 31)]",[10.818835744780396]
24.png,"[(80, 52), (45, 67), (95, 44), (57, 82), (38, 57), (90, 14), (54, 8), (24, 49)]","[0.37824634451658923, -2.0625176902617293, -3.8154244850438914, 18.45359564598381, 30.43067224927384, 19.993515108351513, 6.634669886909662, 1.53249547773513]"
25.png,"[(0, 30), (54, 52)]","[12.639004437779883, 17.424228693693717]"
26.png,"[(93, 56), (69, 56), (94, 8)]","[34.41500653733844, 14.105832802997364, 52.18195847058664]"
27.png,"[(94, 70), (28, 8), (83, 50), (39, 32)]","[10.918474234930526, 12.657018274521551, 10.185638512477894, 2.3103549757847848]"
28.png,"[(80, 38), (73, 86), (93, 45), (92, 90)]","[-5.005956406348167, 18.656575831925394, 34.321142289095626, -2.056709531894702]"
29.png,"[(43, 37)]",[30.559825942910187]
30.png,"[(28, 33), (89, 8), (21, 52), (96, 81), (47, 17), (18, 66), (86, 52), (75, 62)]","[-6.864715644048576, 18.78346741679065, -9.640441132277925, -4.152285638058542, 2.8249990260795097, -8.74182960363394, 0.6148047460588395, -2.0791635247162827]"
