image,pins,outputs
0.npy,"[(98, 77), (44, 93), (79, 69), (55, 82), (17, 63), (78, 10), (44, 76), (76, 99), (22, 4), (12, 76)]","[0, 1, 1, 0, 0, 1, 0, 1, 0, 0]"
1.npy,"[(61, 18), (17, 37), (19, 97), (55, 5), (24, 85), (19, 7), (38, 9), (41, 22), (40, 98), (64, 61)]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
2.npy,"[(79, 33), (66, 80), (1, 67), (46, 97), (88, 50), (3, 18), (0, 75), (55, 46), (97, 6), (7, 14)]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
3.npy,"[(72, 31), (87, 26), (29, 25), (63, 39), (91, 33), (88, 12), (61, 28), (36, 38), (89, 7), (13, 80)]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
4.npy,"[(33, 0), (18, 24), (21, 57), (35, 96), (0, 41), (52, 84), (35, 28), (26, 72), (11, 62), (49, 68)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5.npy,"[(1, 98), (14, 9), (44, 10), (12, 35), (28, 70), (97, 91), (43, 37), (72, 47), (49, 57), (72, 95)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6.npy,"[(29, 24), (41, 47), (2, 29), (34, 62), (32, 52), (85, 0), (74, 81), (33, 82), (97, 56), (80, 94)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7.npy,"[(34, 44), (15, 3), (47, 68), (18, 22), (81, 75), (92, 39), (70, 86), (59, 26), (12, 15), (20, 15)]","[0, 1, 0, 1, 0, 0, 0, 0, 1, 1]"
8.npy,"[(11, 28), (2, 79), (4, 5), (5, 95), (11, 43), (21, 11), (42, 55), (95, 44), (71, 90), (13, 17)]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
9.npy,"[(0, 5), (93, 54), (23, 0), (51, 0), (1, 96), (67, 33), (42, 75), (53, 69), (6, 84), (23, 32)]","[0, 0, 0, 0, 1, 0, 2, 1, 1, 0]"
10.npy,"[(52, 70), (98, 98), (28, 13), (70, 24), (8, 85), (78, 12), (20, 9), (17, 27), (48, 37), (51, 91)]","[1, 2, 1, 0, 0, 0, 0, 0, 1, 2]"
11.npy,"[(82, 75), (92, 4), (81, 4), (27, 10), (99, 42), (27, 61), (73, 39), (48, 23), (95, 22), (9, 6)]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
12.npy,"[(0, 86), (60, 86), (90, 77), (22, 57), (20, 10), (40, 17), (48, 63), (77, 40), (80, 18), (78, 64)]","[0, 0, 0, 1, 1, 0, 1, 1, 0, 0]"
